Utterance,ContentFocus,MediaProduction,InclusiveDisposition,SocialDisposition,CollaborativeDisposition,Cross-culturalDisposition,InfoSharing,ParticipatoryTeaching,Feedback,IdeaIntroduction,KnowledgeAcquisition,Curiosity,Self-Awareness,TaskOrientation
I have a different project segment everyone has been working on so I guess we'll start with you Jake.,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Uh I don't have anything to share tonight uh mostly just to monitor and meet new people and see what everyone is up to.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Okay. That's Great. Yeah like um when people share their projects like you chime in and give your own opinion um what you feel about the project. Okay So how about Tenzin Elaine Allison what's cooking up at NySci? (laughter),0,0,1,0,0,0,0,0,0,0,0,0,0,0
I just finished a project on um...so basically like alright so basically we had this alumni for like...alright wait let me explain to this so for you know what NYSci is. So basically we're a science museum right? And then we had like these like interns I guess who threre on the like the museum floor and it's like tell the visitors how about museum and science stuff and then basically we interviewed one of the alumni um who is currently like she's in like the video production industry I guess. And yeah we interviewed her and I edited the video.,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Oh cool. That's so cool. Do you have it on you? Can show it today or no?,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Yeah. Yeah. I just posted a link on groupchat.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OKay. Let's just go around and see what everyone's working on and then we'll come back to you alright Elaine?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Okay. Allison were you working...Allison and Tenzin were you working with Elaine or did you guys have separate projects?,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Well I actually was collaborating with someone from Kenya named Kimani.,0,0,0,0,1,0,0,0,0,0,0,0,0,0
We're doing this video on um broadcasting and sports and sort of a from...I'm Lagging?,0,1,0,0,0,0,0,0,0,0,0,0,0,0
I think...you lag on my end.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK. Yeah we can hear you.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Should I speak slower or something?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No it’s fine. I think you're a good pace.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK. Um I'm collaborating with Kimani from Kenya and we're making a video on broadcasting and sports um and how that's changed from back then verses now and how technology is sort of changed our way of viewing sports. And I'm actually filming it tomorrow.,1,1,0,0,1,0,0,0,0,1,0,0,0,0
Cool. So Yeah do you have a video?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oh okay. I guess look me up on my next meeting for that one then.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
How about you Allison? Anything good?,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OK. So I'm kind of lagging out. I'm doing the call from my basement so its a bit a bit on the...I think I was talking about...I'm not sure but Allison I was asking about your project.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
So I just started a new video for NYSCI. Um it's basically...,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A lot of people don't know what this is like it was fun. It's about ASMR which is like a type of it's a trend I guess on YouTube. And um I...we filmed last week so now I'm in the process of editing that video right now. So yeah.,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Hey its Danielle. I just wanted to chime in. I'm curious a little bit more can you talk a little bit about what that is ‘cause I have no clue what you yourself just said it's not very well known so I'm like tell us about it.,0,0,0,0,0,0,0,0,0,0,0,1,0,0
It's basically well ASMR stands for autonomous sensory meridian response which is like um its basically when someone makes a video where they like talk really close to the microphone but they like make really weird sounds next to the microphone and it's like it's become really popular um on YouTube Instagram stuff like that. Yeah. it's cool.,1,0,0,0,0,0,1,0,0,0,0,0,0,0
I'm going to post example from YouTube in the chat.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
But if you get the idea of what if like.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actually would You mind like bringing it up because you have the ability to screen share.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
So if you want to screen share I just it doesn't just go down a little green button that says screenshare. Its like exactly in the middle. Do you see it?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oh. Oh wow. Okay. Wait who do you want to screen share?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Um whoever has the video up and ready.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oh well plus...I'll screenshare. Okay. Let's see.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alright can everyone see it? Let me see. What is this?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yeah. All right. So this is really bad wait okay nevermind I got it. Oh my God Its nine seconds long.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
This is a bad video actually well alright. Oh yeah. You get to see it basically he has the microphone and it's um all this random things and then um making sounds with them in the microphone and for some people its satisfying and it gives them some meaning.,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Okay. Yeah. You never heard of this Danielle?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Um no. Has anyone else that's not at NYSCI heard of this before?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
You guys never heard of this? That's crazy.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Look look how popular it is? It's pretty popular like.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oh yeah look at this one.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actually Jake have you heard of this? You're usually the techie one.,0,0,1,0,0,0,0,0,0,0,0,0,0,0
I have heard of it but I've never really seen anything to do with it. I've heard the term but I've never actually took the time to explore what it was.,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I bet...I Think you save a lot of time.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
And oh Denis is on the screen right now. Did you hear this? I don't know if you're still with Christine and Lameck but.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I don't think he is. Not sure he's moving around right now. He walked away.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yeah I've never. This is...how do I say this...strange.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
It's a pretty interesting concept. I didn't really believe it when someone described it to me at first an actual thing.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wait so I'm some curious Allison what is it that you're going...you're going to do one or are you going to explain...what is it that you're doing?,0,0,1,0,0,0,0,0,0,0,0,1,0,0
The video that I'm making. It's basically like with science behind it and like um we're Going gonna have like examples I had like a bunch of different people from NYSCI so I do like some more. Yeah.,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Okay cool. That sounds Interesting actually. So I think down to Lameck and Christine now. Do you guys have a project? or are you guys been working on?,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Oh they just said they can't hear us. so we have to speak louder. instant Message.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hi. Have you guys been working on a project?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oh so I was working on a project on the Sustainable Development Goals. So I was working on Goal 6 which is clean water and sanitation.,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Okay. Cool. You guys make um.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I didn't get the last part. Could you repeat it again?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uh I was working on one of the Sustainable Development Goals which was clean water and sanitation.,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Okay. Alright. So I guess well start with Elaine then. So um Elaine just like do you have a You-tube link to your project?,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Do you havea Youtube Link to your project? That You Can all look or you can screenshare as well.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yeah okay. I'm gonna screenshare it then. ummmmmm Okay. So. You guys see the screen?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Okay. Of one go to. Oh there you go okay.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yeah. Wait you guys wanna watch the video? You guys can't hear the audio so its not that interesting. I posted a video of just the interview. It's probably not that interesting.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Um you could just post a link on it just in case someone does want to hear it I mean I can hear the audio as well. Wait no nevermind. We cannot. That was in my head after editing all those videos the intro is in my head now.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
We actually should be able to hear it unless there is no sound on that video.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm wearing wait. Wait. Let me like...wait.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uh okay. I think you drew across the screen.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK. There you go. Oh there you go. Do you hear it now?,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alright. So I kind of had a chase bus because I keep on losing connection. So OK so Danielle's gonna take off like five minutes but I'm over it. And While I'm gone you guys can talk about your project and like what you thought and give your opinion and what you thought of it.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
But it's kind of funny right. Has Tenzin and Allison have you seen this video already?,0,0,1,0,0,0,0,0,0,0,0,0,0,0
I actually worked on it. I was audio for the video. Sorry for interrupting Allison. It was really cool to watch her in person also it was inspiring to me because she said to follow by her words.,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Very cool. Allison were you going to say something?,0,0,1,0,0,0,0,0,0,0,0,0,0,0
